Avg._Area_Income,Avg._Area_House_Age,Avg._Area_Number_of_Rooms,Avg._Area_Number_of_Bedrooms,Area_Population,Price,Address,Price_per_Bedroom
79289.11,6.05,6.03,2.3,41321.11,1428247.07,"99993 Miller Mall
North Shelbyview, CO 19948-1105",620976.99
73969.66,6.45,8.22,6.0,39663.85,1634945.81,"23210 Vaughn Plaza
Patrickview, FM 32471-7299",272490.97
62857.08,5.06,5.86,4.17,48339.94,915992.56,"2061 Edward Circles Suite 191
Lindseyborough, GU 82013",219662.48
72991.48,3.41,6.49,2.48,50626.5,1042373.52,"0618 Richardson Mountain Apt. 253
Jasmineport, DC 78574",420311.9
62794.97,4.21,8.48,5.33,31162.06,879618.32,"54038 Warner Mall Suite 306
Sarahmouth, SD 61528",165031.58
71806.36,5.73,6.22,2.45,47563.23,1210431.68,"13963 Anderson Fork
Port Dawnside, NV 79521",494053.75
69584.66,5.37,8.05,6.19,17045.81,1059262.04,"27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305",171124.72
62357.03,6.73,7.13,5.0,23382.54,972417.81,"PSC 9682, Box 5865
APO AA 11465",194483.56
59716.74,5.45,7.34,5.06,41273.01,1242979.15,"7099 Shane Trail Apt. 259
Pinedaborough, GU 91864-3525",245648.05
71093.69,5.87,5.87,3.26,37143.4,1096846.09,"19371 Laura Mountain
South Sergioshire, PA 45947",336455.86
76336.07,5.58,8.03,3.45,37258.2,1392685.29,"69486 Brenda Island Apt. 827
Sarahborough, CT 52727",403676.9
54762.05,3.8,7.55,5.47,58460.28,1080464.85,"84075 Jeffrey Tunnel
South Amymouth, KS 13318-7131",197525.57
61666.15,5.77,6.18,2.35,34605.03,821413.19,"4484 Estes Bypass
Bradleystad, FM 70703",349537.53
92280.5,7.26,8.22,4.31,38004.15,2237778.03,"9032 Hernandez Passage
Lake Karenstad, NY 24477-7673",519206.04
74312.9,5.54,7.96,3.22,43906.74,1518319.64,"067 Lucas Walks Suite 450
East Marcland, VI 00144-8724",471527.84
70026.93,6.08,8.19,3.14,38102.47,1503552.21,"171 Wayne Flat Apt. 324
Bartlettside, IL 19674",478838.28
68524.19,6.31,5.56,2.05,48112.39,1219154.4,"85915 James River
Leblancfort, TN 61922-6111",594709.46
87927.97,5.59,4.78,2.13,34724.16,1276259.02,"01358 Barton Ranch
Lawrenceborough, SD 60884-8281",599182.64
74082.02,6.76,6.94,2.44,32617.47,1400496.66,"4120 Jason Path
Lake Rebeccafort, ME 80907-9585",573974.04
72245.34,6.09,5.87,2.01,25508.79,1127174.71,"271 Larson Corners Apt. 496
Andreaburgh, TX 00062",560783.44
63555.46,5.22,7.53,3.16,41839.48,1251663.85,"502 Willis Village Apt. 935
Port Lawrence, IN 49301",396096.16
74170.66,5.85,6.67,2.1,40719.24,1469354.78,"158 Christina Junctions Suite 137
North Justin, HI 69723-6199",699692.75
70005.69,4.92,7.39,4.3,25136.22,946556.26,"93827 Gonzalez Rest Suite 278
Luisville, MH 13877-8429",220129.36
67547.87,6.52,7.38,4.18,28131.72,1150658.6,"639 James River Suite 931
West Denise, KY 32288",275277.18
61776.62,6.83,8.29,3.05,27970.52,1325819.91,"999 Lewis Fork
South Stephanie, WV 50293-8967",434695.05
69200.66,5.61,6.57,4.28,31085.32,1150093.89,"976 Tamara Course Suite 169
South Donna, MP 27394-3313",268713.53
66887.15,6.03,7.4,3.35,23806.24,1009142.34,"652 Debra Ramp Suite 784
Port Stefanieside, KY 51547",301236.52
83201.02,6.38,7.04,5.15,43837.42,1705276.19,"45434 Craig Shore
West Justin, AK 33316",331121.59
59944.65,5.57,8.02,4.19,28999.13,829794.82,"4788 Kristen Bypass Suite 131
West Michael, SC 22980",198041.72
53676.37,6.02,6.71,2.31,47027.06,1046442.63,"7655 Weber Square
New Jaclyn, MT 85582",453005.47
64074.96,5.43,6.65,4.5,40211.11,1152269.43,"Unit 6626 Box 7561
DPO AP 16790",256059.87
77324.4,4.74,6.84,2.4,32839.9,1091479.56,"3269 Sherri Corner
New Jonathan, MS 39820-0357",454783.15
76870.36,5.36,5.89,4.32,25655.87,1039915.34,"60046 Destiny Port Suite 618
North Nataliehaven, WV 64258",240721.14
55897.31,4.0,7.71,5.27,31094.11,565732.82,"79244 Lee View Suite 312
Wendyton, MO 11893-3330",107349.68
87765.52,5.41,8.24,6.41,39910.34,1739628.38,"168 Phillips Row
New Emily, CO 16308-7553",271392.88
78331.93,5.89,8.49,3.27,31032.86,1442128.73,"3350 Morris Road Suite 424
Maymouth, DC 48494",441017.96
74569.86,3.74,5.37,2.06,39183.96,1004124.91,"8850 April Lock Suite 431
North Janet, AR 53662-0663",487439.28
87314.64,5.07,6.68,2.18,25224.65,1143621.36,"639 Christopher Squares Suite 686
Reneetown, GA 47710",524596.95
78019.86,4.62,6.18,2.25,36689.23,1060241.2,"234 Mary Vista
Port Jenniferhaven, AS 50660-3651",471218.31
64432.61,6.95,7.01,4.09,50851.06,1548962.89,"3133 Stacey Mountains Suite 240
East Kayla, AK 86549-5044",378719.53
74332.85,5.28,7.52,6.35,30212.44,1056984.18,"7004 Monica Locks Apt. 668
Brownmouth, PR 36675",166454.2
74664.34,7.8,6.41,3.25,23817.9,1447353.26,"4241 Reed Keys Apt. 890
Snyderburgh, MI 24927",445339.46
73406.22,5.53,6.0,4.21,38073.52,1251566.48,"2758 Harris Canyon Apt. 514
Bakerburgh, PA 60893",297284.2
58464.31,4.96,7.41,3.26,25157.45,751969.21,"024 Caleb Parkways
East Matthewborough, LA 94636",230665.4
61600.93,4.91,6.51,2.38,37457.81,764955.5,"5274 Brown Ridge Apt. 421
East Robintown, DE 26378-8119",321409.87
75155.18,5.83,6.14,4.46,51562.59,1539958.93,"1157 Jasmine Grove Apt. 934
East Craigside, AZ 99194-1973",345282.27
67828.91,5.62,6.25,2.32,27127.63,962747.16,"39341 Wise Ports
Lake Laura, KY 62351-5064",414977.22
50144.74,6.12,7.65,3.24,43233.32,1353854.48,"781 Townsend Mountains Suite 207
Joneston, NY 22169-4842",417856.32
86557.25,5.02,8.72,5.25,42757.44,1850525.57,"5442 Mcdaniel Hill
South Joe, TN 50468-3763",352481.06
87733.86,5.66,6.41,3.15,43943.48,1778411.66,"3034 Sarah Stream
West Patricia, CT 37525",564575.13
65846.41,7.32,8.24,3.29,22355.22,1369006.11,"939 Atkinson Vista Suite 208
Kennethton, GU 36352-1328",416111.28
45551.4,6.92,6.44,2.48,49839.32,1197975.09,"27317 Lloyd Radial Apt. 985
South Kevinview, NJ 72757-4701",483054.47
89946.9,6.6,8.29,4.17,40502.74,1930143.83,"03913 Brian Skyway Suite 719
East Michaelfort, FL 88693-1834",462864.23
72792.67,7.84,6.88,2.4,34104.37,1481946.19,"8339 Claudia Port
Brianberg, LA 70084",617477.58
68709.1,5.99,8.58,4.38,31659.7,1347578.53,"900 Eileen Prairie Suite 346
South Melissa, WV 86173-2956",307666.33
87506.73,5.43,4.95,3.13,32699.65,1358646.75,"20330 Kendra Throughway Apt. 798
South Timothyville, OH 90558-4977",434072.44
62862.49,4.61,6.72,3.37,37254.7,931768.05,"4468 Haley Meadow Suite 401
Amandamouth, LA 51503-8671",276489.04
59054.13,5.35,7.02,5.24,51384.43,1205962.99,"6879 Rogers Squares
Port Christine, PR 15758-2368",230145.61
45978.39,5.22,8.43,3.02,36062.79,792146.08,"497 Olson Rue
Port Scottbury, MD 24573",262300.03
80281.42,6.21,8.33,5.27,45424.22,1618670.88,"363 Meyers Island
Lake Iantown, MP 83262-3375",307148.17
65908.74,5.3,6.83,3.29,24080.59,864446.79,"907 Maria Branch
Jamesport, VT 98208-9060",262749.78
55930.14,5.54,6.59,3.09,24898.74,662630.34,"559 Megan Summit Suite 325
Obrienmouth, OR 18396",214443.48
77587.95,6.14,6.82,4.37,37280.44,1485145.66,"2326 Amy Plains Suite 061
Dawnfurt, SD 64522-9268",339850.27
62636.83,5.86,5.8,3.18,51456.3,1047226.97,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108",329316.66
76142.12,4.05,8.53,4.0,41931.47,1392793.81,"96599 Santos Causeway Apt. 231
Port Paula, MA 16824",348198.45
63524.22,6.3,4.81,4.31,48123.71,943575.13,"136 Brown Mills Apt. 509
Fletcherfort, IL 45521",218926.94
85673.31,6.59,6.37,2.14,33110.56,1793398.72,"59400 Theresa Well Suite 331
South Sandraland, MN 59076",838036.79
49268.37,6.27,8.09,6.44,41349.04,881273.12,"USNV Hall
FPO AP 47103-2429",136843.65
87978.41,8.16,7.66,5.11,39586.43,2138713.94,"926 Rose Rapids Suite 479
South Jacob, AL 52129",418535.02
78785.28,6.61,6.53,2.12,33603.48,1540869.87,"99061 Justin Mission Suite 452
Johnhaven, OR 27004-7494",726825.41
79271.9,8.37,6.56,3.5,28904.22,1707650.44,"2627 Ford Spurs Suite 995
Christopherton, KY 30003-0171",487900.13
62755.45,6.11,6.8,3.07,41525.38,1025705.13,"713 Jason Plaza Apt. 927
Coreymouth, MA 50325",334105.91
81944.65,6.07,6.91,4.46,34262.32,1541186.25,"6975 Gabrielle Shores
Lake Kelseyland, CO 77085-1324",345557.46
67384.0,7.22,7.81,6.43,48918.06,1930344.45,"9380 Kimberly Mission Apt. 786
Buckmouth, PW 12882-2996",300209.09
67282.57,6.0,7.75,4.44,42768.91,1481146.95,"9131 Cline Prairie Suite 607
West Trevor, ND 38795-2007",333591.66
57869.98,5.14,6.23,3.13,44474.7,1099725.28,"05589 Aaron Prairie
Bakerbury, MP 64630-4394",351349.93
64967.78,7.05,7.32,3.26,28164.22,1190867.44,"917 Black Prairie
West Elizabeth, OH 04452",365296.76
69700.74,6.57,5.34,4.37,21934.9,1070318.81,"8649 Elizabeth Hill
Port Erin, WY 52957-5435",244924.21
74490.64,5.41,8.46,4.1,35563.46,1358213.91,"238 Julie Parks
Christopherton, NH 95146",331271.69
54827.03,7.04,7.84,6.01,45027.11,1198725.49,"59647 Matthew Harbors
Sheilashire, OK 81154-7934",199455.16
74369.67,6.84,8.23,3.27,45991.86,1774715.48,"PSC 9368, Box 6505
APO AA 78606",542726.45
81357.87,6.09,6.46,3.5,51019.21,1538903.99,"0052 Murphy Motorway
New Maria, TN 69580-8439",439686.85
73185.62,5.81,6.97,4.5,54680.64,1462360.6,"Unit 1448 Box 4395
DPO AA 25685",324969.02
53526.93,4.58,6.43,3.1,51611.11,953261.92,"64535 Billy Mountain
Moseston, TN 48447-9761",307503.85
64736.28,6.86,7.01,3.15,47717.14,1427108.5,"7956 Cassandra Union
Lake Ann, OR 51456",453050.32
68488.62,4.74,7.45,4.03,28298.49,769576.86,"08119 Regina Hollow
Ianport, SC 23292-5020",190962.0
49424.27,7.05,5.11,2.27,18656.64,668255.48,"02795 Wendy Point
West Shannon, DE 72326-4625",294385.67
62032.96,5.24,7.08,4.39,25267.11,800809.13,"1728 Erickson Ferry Apt. 348
Johnborough, WY 10598-1489",182416.66
64506.79,6.38,7.55,6.07,41521.44,1427202.28,"57349 Paul Wall
Port Kelly, MD 28873-9792",235123.93
51178.15,6.59,6.99,3.1,31822.07,783566.33,"74931 Rogers Wall
Julianfurt, IN 78140",252763.33
64290.21,3.65,7.37,3.44,54157.3,949072.25,"519 Avila Road
Jamesbury, SC 76217-0455",275893.1
61482.24,7.09,8.1,3.06,50245.27,1693591.84,"53979 Derek Road
Carrieville, DC 45078-8600",553461.39
70130.56,8.2,9.57,4.07,26794.26,1675557.27,"72654 Jason Plaza
South Crystalburgh, MS 24864",411684.83
84923.4,7.2,6.36,4.35,43231.62,1943359.77,"995 Carter Haven
North Raymondchester, PA 75389",446749.37
63233.73,4.92,6.53,2.37,49272.46,1106261.27,"05706 Ochoa Points Suite 263
North Craig, MH 98488-6772",466776.91
53776.63,6.77,5.95,4.24,29324.0,978766.91,"75906 Marissa Ville Apt. 047
Robinsonside, MN 51149",230841.25
67125.15,4.97,7.64,5.37,22651.11,997827.25,"3703 Mark Stravenue
Jenniferland, VT 47784",185815.13
66007.94,6.35,5.19,4.02,45399.56,1062206.32,"9606 Sanford Villages Apt. 846
Piercestad, CT 72842-3325",264230.43
64838.49,6.44,8.7,4.02,32921.01,1382172.29,"Unit 2193 Box 7909
DPO AA 47323-2101",343823.95
83889.44,6.53,5.92,4.5,17957.86,1281741.16,"4641 Romero Branch
Port Adam, OH 48769",284831.37
78846.27,6.72,7.65,6.1,41261.19,1592664.7,"89757 Mcfarland Cove
South Ronaldport, LA 62288-5973",261092.57
72556.2,5.38,7.25,6.42,31487.04,1247557.7,"796 William Skyway Apt. 402
West Tyrone, VI 81186-6677",194323.63
62069.76,5.54,7.35,3.35,27098.84,779207.55,"47492 Phillips Trail Apt. 262
Mariohaven, MH 00956",232599.27
88697.62,4.74,6.6,3.48,29935.9,1222760.86,"649 Brandon Ways
New Jennifer, GA 81262",351368.06
57216.21,6.86,8.23,6.32,35046.01,1380715.32,"773 Zachary Turnpike
South Vanessamouth, NJ 83757",218467.61
53712.14,4.23,6.88,2.38,31913.7,704884.15,"151 Luna Landing
Brandtmouth, RI 02975",296169.81
77330.79,5.94,5.79,3.45,49571.11,1530480.69,"26425 Tasha Trace Suite 683
North Kristinbury, UT 69027",443617.59
66556.39,6.32,8.37,4.21,45325.66,1780415.44,"7287 Mullen Burg Apt. 284
Housetown, VA 71506-7091",422901.53
74864.37,6.34,8.04,6.21,46250.65,1709667.19,"19834 Rodriguez Lights Suite 480
Parkchester, MS 20288-6598",275308.73
62561.56,4.73,7.93,3.23,37446.17,852565.63,"993 Lowery Villages Suite 537
Warnerhaven, MD 10412",263952.21
77821.62,5.26,6.66,2.36,33932.55,1185310.27,"58847 Mccormick Isle Apt. 081
North Patrickborough, NJ 31166-7988",502250.11
79579.99,5.81,8.69,6.08,43214.77,1795093.03,"USNV Walker
FPO AE 81668-3821",295245.56
69923.35,4.1,5.93,4.49,45202.14,956241.99,"65132 Sharon Manors
Maynardmouth, MI 60210-9659",212971.49
63879.68,4.88,7.12,4.39,56266.97,1224454.55,"85285 Kayla Walks
Garnerberg, MA 84386",278919.03
59154.68,4.49,5.94,2.49,26567.51,552279.21,"0880 Torres Views
Lake Seanside, ND 47671",221798.88
52835.26,7.74,7.52,5.28,34537.0,1186357.18,"1813 Shawn Canyon Apt. 761
East Kennethfurt, LA 37064-8900",224688.86
63750.37,7.38,8.79,3.4,47248.06,1582261.7,"079 Cruz Walks
Gregoryfurt, IL 39580",465371.09
81741.63,5.49,7.87,5.25,29755.51,1478028.17,"508 Watson Motorway
Kirbychester, NJ 76201-4719",281529.18
77594.6,6.55,7.02,5.35,24293.63,1386306.1,"878 Shawn Ford Suite 912
Aaronburgh, NC 90513-9301",259122.64
79843.15,5.78,7.3,3.24,42452.94,1424786.51,"006 Benson Camp Suite 290
Lake Tracy, AL 36317-8259",439748.92
77081.68,3.64,7.2,6.42,40080.44,1206937.32,"72956 Jessica Stravenue
Bethanyshire, CT 67149-6278",187996.47
70713.64,4.82,7.77,5.22,29436.45,1209287.54,"809 Harrington Forges
Smithstad, PW 59127",231664.28
63798.0,5.75,6.86,2.38,26626.53,1029869.76,"2765 Smith Mission
Baldwinton, LA 68900",432718.39
45914.01,4.9,6.12,4.16,26309.24,300464.1,"7976 Richard Plains Apt. 958
Lake Abigail, IN 02827-4222",72226.95
88190.47,5.15,6.77,2.1,25177.49,1294278.12,"002 Katherine Flat
Hartmanland, AZ 37973-3049",616322.91
72010.8,5.65,8.1,6.43,16376.64,1251757.19,"456 Nicole Canyon
New Valerieside, CA 37155",194674.52
52420.53,7.33,6.01,4.29,39766.42,1128403.37,"35923 Melody Union
Huffmanville, AK 21375",263031.09
74748.15,5.43,7.42,5.43,36071.76,1363669.07,"467 Emily Rapids
New Bradleyside, MI 74897",251136.11
80913.46,5.56,7.14,6.25,30034.34,1177744.97,"642 Ashley Burg
Jennifershire, KY 79760-6173",188439.2
59480.05,5.21,7.75,4.33,43703.78,980274.07,"99990 Miller Way
Russellberg, MN 31202",226391.24
80951.28,5.45,6.32,4.14,38990.81,1524115.89,"3027 Pamela Trail Suite 457
South Veronica, NC 79350",368143.93
63856.31,7.46,6.84,3.41,31114.9,1311902.53,"9912 Smith Roads Apt. 591
Lake Stacey, AR 95418-6029",384722.15
74727.89,5.79,7.12,5.11,27639.06,1119992.62,"68583 Allen Centers
North Masonhaven, ME 51493-3022",219176.64
78095.35,6.84,7.12,3.0,32346.43,1538922.9,"165 Rebecca Run
South Hannahport, LA 92436-6494",512974.3
69689.63,4.07,6.31,4.46,27438.69,843633.2,"5831 Lisa Road Suite 705
East Nathan, VI 05521-1350",189155.43
54973.19,5.43,7.14,5.45,40412.72,903301.99,"5073 Spencer Station Suite 444
Toddfort, MO 95614",165743.48
62571.35,5.95,7.18,4.37,41465.12,1161995.73,"86533 Gould Hills
Garciachester, DE 09135-4735",265902.91
69370.93,5.14,4.66,3.42,33732.46,733299.79,"1732 Barbara Overpass
Hillmouth, DC 64884",214415.14
82415.25,7.05,6.46,3.08,46297.58,1837930.8,"8901 Lisa Isle Apt. 035
North Tammiechester, NC 23048-4036",596730.78
52864.76,5.99,7.85,3.16,39156.98,962028.7,"15502 Hailey Courts
West Melissaton, GA 00663",304439.46
65855.86,6.56,7.71,6.4,45528.54,1477765.15,"88428 Campos Path Apt. 890
North Joshuashire, AZ 84342-5757",230900.8
61310.28,7.95,7.13,4.39,33201.05,1419345.61,"29337 Gabrielle Mission Suite 631
Loganfort, MS 10959",323313.35
39411.65,4.39,7.05,4.44,45851.4,539483.4,"1085 Michele Glens Apt. 517
Sergiotown, VT 20367",121505.27
77265.75,5.39,7.6,3.46,21558.38,1097701.94,"270 Sarah Vista
North Jessicatown, MP 84920-3221",317254.9
74777.76,6.34,6.65,2.2,30013.3,1412274.49,"300 Larry Drive Apt. 188
Maychester, GU 63293-8809",641942.95
67474.28,3.28,7.94,4.12,34971.54,1013443.44,"6700 Burns Summit Apt. 752
Munozmouth, PR 33205",245981.42
68848.2,6.78,6.09,4.16,25880.41,893919.04,"140 Alvarado Center
Hessview, OR 63586",214884.38
66148.04,6.33,6.84,4.14,31574.41,1234531.6,"77597 Connie Harbors
Robertville, DC 21128-0453",298196.04
63595.96,6.12,6.68,3.22,19345.41,864702.93,"904 Jennifer Pass
East Carolyn, NE 80148-8850",268541.28
60741.57,6.25,6.72,4.38,24534.37,977024.11,"5432 Walker Island
North Richardchester, AS 42587",223064.87
73540.63,4.42,7.05,5.24,39756.37,936148.51,"12715 Short Squares Suite 017
Leahburgh, PR 77137-6937",178654.3
74633.94,5.75,5.63,3.4,30600.6,1056976.97,"132 Allison Rapids
Yvonnefurt, NC 14633",310875.58
62016.69,5.76,7.79,3.45,35750.29,1040607.31,"PSC 0939, Box 2872
APO AE 84646",301625.31
84249.86,5.86,6.16,4.14,44571.38,1641101.52,"3067 Monica Junctions
New Jamie, NY 50202",396401.33
44247.15,6.45,6.17,4.38,22011.95,503065.51,"1377 Moran Wells
Richardburgh, IL 33834-1305",114855.14
59473.99,6.93,7.77,6.19,41215.3,1296146.94,"27645 Kline River
Port Samuelside, GU 06730",209393.69
67839.38,6.9,6.93,3.46,26377.27,1164209.62,"43918 Carpenter Village
Lindsayborough, WY 68856-0092",336476.77
62972.0,7.16,4.63,2.0,33869.9,999814.89,"76984 Adams Stream
Jamesview, AZ 00532-4427",499907.44
61162.58,5.9,7.88,6.04,36033.7,1060897.69,"06275 Ross Mills Suite 054
Lisastad, DC 67330",175645.31
87472.26,5.54,7.34,3.32,48306.8,1848633.72,"29279 Jermaine Plain
Morrisland, SC 37248-4063",556817.39
48692.98,4.6,6.26,3.02,36239.39,617157.91,"520 Love Hill
Port Scottview, NC 38932-2657",204356.92
67858.5,4.95,6.23,3.34,29708.76,857697.13,"PSC 8501, Box 9843
APO AP 98266-5428",256795.55
72332.06,5.74,6.87,4.41,45804.33,1253434.4,"87019 Russell Port Apt. 950
Rhondastad, KY 27693-9413",284225.49
80775.9,6.15,7.74,5.29,26601.56,1635092.43,"62969 King Junctions Apt. 619
Maryton, NY 45618",309091.2
75151.11,7.3,6.6,3.3,32032.14,1524845.42,"PSC 7794, Box 7590
APO AA 40047",462074.37
62095.04,5.95,4.71,3.24,36183.29,763869.67,"94007 Luis Isle Apt. 081
Port Jesse, IN 51991",235762.24
75759.49,5.25,7.51,4.11,46188.17,1376637.51,"14841 Jeffery Passage
Lake Kyle, WA 90337-7454",334948.3
64374.31,8.39,7.06,6.23,23251.05,1244440.13,"95798 Elizabeth River
Benjaminbury, VT 03318-9619",199749.62
48147.87,5.97,7.88,6.44,32050.58,693931.5,"PSC 3778, Box 1575
APO AE 50445-2100",107753.34
64127.44,5.61,6.99,2.25,42628.71,1277744.74,"3840 Timothy Walks
West Deborah, VT 14535-2467",567886.55
83921.91,5.53,6.82,4.06,39569.83,1539329.32,"805 Brown Land Suite 726
Jenniferhaven, GA 61596-1119",379145.15
54617.89,6.23,6.78,2.18,29613.84,903881.66,"548 Alec Keys
Daniellemouth, PA 02241",414624.61
45493.21,7.38,7.27,3.2,38938.27,896944.24,"PSC 9294, Box 6252
APO AP 46111-7806",280295.07
72780.15,5.26,5.73,2.48,44953.52,1184758.84,"60075 Rhodes Summit
North Crystalview, VA 40652",477725.34
96395.32,5.46,7.53,6.5,35036.19,1731437.42,"389 Michael Knolls Apt. 891
Reyeshaven, WV 22646-0966",266374.99
47467.42,5.82,7.02,3.33,37341.62,762144.93,"753 Kline Street
New Cindyland, MI 13424-8203",228872.35
61807.48,5.61,8.2,5.46,44586.72,1270905.02,"876 Woods Circles
North Sarah, OK 34668",232766.49
54794.42,5.63,8.0,4.21,39385.68,1000043.9,"043 Tyler Oval
Lake William, AS 62856-9836",237540.12
94923.41,5.71,8.04,3.3,43818.81,1967637.29,"8068 Curtis Glen
Anthonyfurt, VA 17191",596253.72
62058.5,7.03,6.18,3.23,28954.5,1114779.25,"034 Parker Unions
Lake Thomas, MP 99522-4945",345132.89
46952.23,6.06,5.73,4.24,31628.23,671661.71,"727 Gonzales Fork
Jonathanborough, ND 57809-1961",158410.78
67003.63,6.51,7.41,3.02,28464.33,1214986.89,"003 Erica Passage Apt. 274
East Ritaton, KS 97261-8617",402313.54
87835.27,4.3,7.46,3.39,16250.77,1053236.6,"1215 Dawson Locks Suite 788
Port Elizabeth, NH 66530",310689.26
73433.63,7.11,6.23,2.05,44544.23,1515005.38,"62721 Stewart Mount
Marieburgh, WY 37987-7127",739027.01
70124.39,6.74,7.35,6.32,51673.96,1732196.22,"3222 Alexis Square
Leetown, MS 07616",274081.68
84366.24,4.75,7.87,5.27,43445.02,1587122.37,"30682 Perry Ranch Suite 253
Tinaport, CT 17781",301161.74
60343.6,7.83,7.27,4.38,24199.05,1184893.56,"8042 Jasmine Ramp
Charlesborough, IL 29751",270523.64
71308.86,5.81,8.6,3.25,22710.19,1314348.7,"6049 Ramos Fork
Vaughnmouth, MN 39214-3093",404414.98
65430.98,4.32,7.2,4.41,33320.4,717825.36,"7646 Joshua Tunnel
Christinaton, AZ 69071-6657",162772.19
73591.49,5.43,6.75,2.5,51662.32,1441736.76,"960 Diamond Mews Apt. 150
East Donnaview, MH 67321-2363",576694.7
52805.84,7.46,6.8,4.48,37161.11,1119542.31,"4122 Bradley Turnpike Apt. 551
New Carlaville, KY 15412-2546",249897.84
58187.05,6.08,7.26,4.08,31551.86,850977.01,"0227 Walters Haven
West Wesleybury, MS 17227",208572.8
70506.22,6.07,7.95,3.14,44706.72,1655466.74,"6998 Jason Hollow
Kleinbury, KY 02969",527218.71
77412.45,7.26,7.07,4.29,33258.83,1641739.52,"793 Cynthia Shore
South Randy, MN 75770-8233",382689.86
65087.72,6.68,7.46,3.45,40283.25,1369976.5,"31241 Johnson Prairie Suite 452
Hancockshire, AS 54797-5444",397094.64
72547.05,5.61,7.05,3.32,39218.76,1465835.84,"PSC 6728, Box 9260
APO AA 33818",441516.82
78864.05,6.38,7.35,3.3,50194.11,1789334.85,"8374 Colon Isle
North Yolanda, SD 47070-7137",542222.68
67335.76,6.79,7.38,6.26,10311.0,863297.18,"493 Beth Tunnel Apt. 276
New Mitchell, DC 10981",137906.9
79552.39,5.19,6.54,3.32,50113.84,1425366.41,"5131 Tapia Gardens Suite 886
Christinaburgh, CO 75023-0787",429327.23
89089.43,7.15,9.18,5.29,49782.15,2271112.74,"8252 Murillo Mountain
Glennshire, SC 33179",429321.88
67110.33,7.2,7.24,6.1,31998.76,1370699.72,"965 Wilson Ridges
Holmesland, VT 81072",224704.87
80778.9,6.48,6.39,3.16,34431.17,1566740.13,"3753 Dean Island Suite 773
North Dennis, OR 90936-6820",495803.84
76624.15,5.07,6.27,4.17,47039.09,1436995.2,"678 Patton Pass
Guzmanberg, MA 60510",344603.17
80011.58,6.45,6.49,2.49,26576.39,1345962.95,"51202 Perez Squares
New Kellytown, WV 38886-7802",540547.37
70472.79,6.01,6.11,3.24,34894.16,1265180.91,"4821 Christopher Park
Lopezside, MH 21430",390487.94
57457.0,5.38,7.86,6.22,37378.95,1061222.54,"278 Tina Spur Suite 751
Jessicashire, PA 60756",170614.56
80000.76,5.61,5.91,3.17,42245.45,1383967.46,"50664 Kent Haven
Christopherchester, KS 50822-8146",436582.79
66387.68,5.68,7.79,5.22,22552.54,1051519.07,"0896 David Islands Suite 115
Lake Patriciaburgh, MD 03928-1885",201440.43
64699.39,6.85,6.96,4.0,49083.67,1550359.55,"31018 Park Square Suite 876
Normanside, MA 65696-1725",387589.89
84777.3,5.42,6.08,2.22,42038.8,1375057.08,"88259 Amanda Valleys
Carrollmouth, OH 35308-8073",619395.08
81196.61,6.87,7.18,3.01,49574.71,1882978.9,"6983 Tyler Mission Apt. 984
South Nicholasbury, DE 26628",625574.39
60690.72,7.6,7.02,3.42,35528.5,1274053.64,"814 Elizabeth Square Suite 264
New Brenda, DC 70173-4108",372530.3
72000.92,7.17,7.87,3.13,27699.05,1426434.64,"02930 Kenneth Glen Apt. 117
East Michaeltown, NC 02319-9280",455729.92
51144.77,6.75,6.77,4.04,39369.3,913587.1,"572 Shelton River Suite 617
Reyesland, DE 48811",226135.42
57683.85,6.56,7.06,4.3,43348.49,1116730.87,"014 Cheryl Plaza Suite 493
Lake Melinda, MH 07175",259704.85
63759.05,6.14,7.61,6.23,35072.0,1226586.92,"4976 Shields Mount Suite 333
East Michelehaven, CT 44471-9324",196883.94
68615.77,8.76,6.12,2.47,51791.81,1836978.48,"4518 Caleb Hills Apt. 029
East Shannon, VI 80699-6731",743715.98
66823.43,7.52,6.14,4.29,30852.29,1452153.85,"365 Sue Place Apt. 092
Lake Davidport, VT 70760",338497.4
67564.17,6.7,8.04,5.16,21880.05,1294750.37,"8783 Cristian Vista Suite 144
Lake Tiffany, HI 82995-2929",250920.61
68008.62,4.36,7.88,5.41,28908.09,1059870.96,"USNS Hernandez
FPO AA 27512",195909.6
73715.42,6.21,7.98,3.09,45540.94,1615346.75,"Unit 1515 Box 0124
DPO AA 13767",522765.94
50813.7,7.16,5.94,2.1,30767.31,1107692.0,"49703 Joshua Camp
Port Brianbury, OH 78964",527472.38
83814.1,8.57,7.39,3.39,51538.06,2330289.7,"125 Gillespie Plain
Whitefurt, MO 18599",687401.09
51666.77,7.73,7.56,3.45,41926.02,1116193.29,"016 Ashley Locks
Mortonstad, WY 58148",323534.29
69236.93,5.82,5.86,4.18,39399.94,1072253.83,"8534 Gina Route Apt. 739
Davischester, GA 71300-1917",256520.06
81099.58,6.43,7.14,4.33,29780.17,1626941.79,"81304 Jonathan Camp
Lake Tannerbury, RI 29349",375737.13
59303.82,6.93,9.1,3.44,43609.46,1669681.23,"90568 Garcia Vista
North Marioville, GU 75958-1328",485372.45
